PWS ID,PWS Name,PWS Type,Primary Source,Counties Served,Cities Served,PopulationServed Count,Number of Facilities,Number of Violations,Number of Site Visits
FL6295183,BAY HILLS VILLAGE CONDO ASSOCIATION,Community water system,Ground water,Hillsborough,THONOTOSASSA,218,2,54,39
FL3490090,BAY LAKE ESTATES,Community water system,Ground water,Osceola,ST CLOUD,229,3,15,26
FL2554344,BAYSIDE ESTATES WTP,Community water system,Ground water,St. Johns,FRUIT COVE,180,3,10,23
FL3351567,BAYWOOD CONDOMINIUMS,Community water system,Ground water,Lake,MT DORA,200,2,18,18
FL4060167,BCWWS 1A,Community water system,Ground water,Broward,LAUDERDALE LAKES,75305,10,18,90
FL4060163,BCWWS 2A,Community water system,Ground water,Broward,POMPANO BEACH,54622,26,8,93
FL4060165,BCWWS 3A,Community water system,Ground water,Broward,FT LAUDERDALE,16046,10,7,54
FL4060162,BCWWS 3B/C,Community water system,Ground water purchased,Broward,MIRAMAR,32650,2,4,20
FL3590069,BEAR LAKE MANOR,Community water system,Ground water,Seminole,APOPKA,777,3,10,19
FL3354106,BEE'S RV RESORT,Community water system,Ground water,Lake,CLERMONT,158,2,17,21
FL2540070,BEECHER'S POINT S/D,Community water system,Ground water purchased,Putnam,WELAKA,189,2,7,27
FL2164400,BELLE OAKS WTP,Community water system,Ground water,Duval,JACKSONVILLE,60,2,9,40
FL3424000,BELLEAIR SUBDIVISION (CONSEC),Community water system,Ground water,Marion,OCALA,763,4,23,19
FL6520135,BELLEAIR WATER PLANT,Community water system,Ground water,Pinellas,BELLEAIR,5299,9,16,26
FL3424839,BELLEVIEW HILLS ESTATES,Community water system,Ground water,Marion,SUMMERFIELD,758,3,9,15
FL3424030,BELLEVIEW HILLS SUBDIVISION (CONSEC),Community water system,Ground water,Marion,BELLEVIEW,378,4,12,22
FL3424621,BELLEVIEW OAKS ESTATES,Community water system,Ground water,Marion,BELLEVIEW,294,2,11,19
FL3420074,"BELLEVIEW, CITY OF  (2 WPS)",Community water system,Ground water,Marion,BELLEVIEW,8433,4,47,18
FL4560075,BENTONWOOD,Community water system,Ground water,St. Lucie,FORT PIERCE,80,2,49,26
FL3494316,BERMUDA MOBILE HOME PARK,Community water system,Ground water,Osceola,KISSIMMEE,48,3,20,19
FL1570064,BERRYDALE WATER SYSTEM,Community water system,Ground water,Santa Rosa,MILTON,3066,6,9,28
FL2180002,BEVERLY BEACH WATER SYSTEM,Community water system,Ground water purchased,Flagler,BUNNELL,1413,2,23,33
FL6090150,BEVERLY HILLS / ROLLING OAKS SUBDIVISION,Community water system,Ground water,Citrus,BEVERLY HILLS,11572,19,15,26
FL2621102,BIG BEND WATER AUTHORITY,Community water system,Groundwater under influence of surface water,Taylor,STEINHATCHEE,3000,6,75,28
FL5110087,BIG CYPRESS  PARK HEADQUARTERS,Community water system,Ground water,Collier,OCHOPEE,100,3,14,35
FL3481571,BIG OAKS MOBILE HOME PARK,Community water system,Ground water,Orange,ORLANDO,125,2,10,22
FL6090156,BIG PINE ACRES,Community water system,Ground water,Citrus,LECANTO,70,2,2,28
FL6270009,BIG TREE MOBILE HOME ; RV VILLAGE,Community water system,Ground water,Hernando,BROOKSVILLE,200,3,14,35
FL3354836,"BISHOPS GATE PROPERTY COMPANY, LLC",Community water system,Ground water,Lake,HOWEY-IN-THE-HILLS,244,3,13,15
FL3354938,BLACK BEAR RESERVE,Community water system,Ground water,Lake,EUSTIS,625,4,5,18
FL6291445,BLACK DAIRY ROAD TP,Community water system,Ground water,Hillsborough,SEFFNER,80,4,23,41
FL3594186,BLACK HAMMOCK -MSBU(CONSEC),Community water system,Ground water purchased,Seminole,OVIEDO,735,1,6,10
FL1464068,BLACKMAN COMMUNITY,Community water system,Ground water,Okaloosa,BAKER,973,4,3,9
FL2161333,BLAIR ROAD APARTMENTS,Community water system,Ground water,Duval,JACKSONVILLE,60,2,21,54
FL1370077,BLOUNT'S LANDING WATER SYSTEM,Community water system,Ground water,Leon,TALLAHASSEE,291,4,18,23
FL1070685,"BLOUNTSTOWN, CITY OF",Community water system,Ground water,Calhoun,BLOUNTSTOWN,3900,6,10,27
FL4474453,BLUE CYPRESS GOLF ; RV PARK,Community water system,Ground water,Okeechobee,OKEECHOBEE,418,3,31,22
FL6510165,BLUE JAY MHP,Community water system,Ground water,Pasco,DADE CITY,420,3,10,45
FL3350094,BLUE PARROT RV PARK,Community water system,Ground water,Lake,LADY LAKE,100,3,12,20
FL3420095,BLUE SKIES ESTATES,Community water system,Ground water,Marion,OCALA,195,3,19,22
FL1324064,BLUE SPRINGS MHP (AKA SPRINGSIDE),Community water system,Ground water,Jackson,MARIANNA,50,2,23,21
FL3484257,BNMS MOBILE HOME PARK,Community water system,Ground water,Orange,ORLANDO,33,2,13,13
FL6530170,BOB'S LANDING MOBILE HOME PARK,Community water system,Ground water,Polk,BABSON PARK,100,2,11,32
FL4500130,BOCA RATON WTP,Community water system,Ground water,Palm Beach,BOCA RATON,130001,60,23,35
FL6084079,"BOCILLA UTILITIES, INC.",Community water system,Ground water,Charlotte,ENGLEWOOD,410,7,3,33
FL3491077,BOGGY CREEK RESORT AND RV PARK,Community water system,Ground water,Osceola,KISSIMMEE,94,4,35,34
