"PWS ID","PWS Name","PWS Type","Primary Source","Counties Served","Cities Served","PopulationServed Count","Number of Facilities","Number of Violations","Number of Site Visits"
"ME0109600","PINEDEROSA CAMPGROUND #2","Transient non-community system","Ground water","York","WELLS","203","7","1","6"
"ME0209600","PINEDEROSA CAMPGROUND #3","Transient non-community system","Ground water","York","WELLS","135","6","1","4"
"ME0309600","PINEDEROSA CAMPGROUND #4","Transient non-community system","Ground water","York","WELLS","78","5","0","2"
"ME0009600","PINEDEROSA CAMPGROUND- EAST","Transient non-community system","Ground water","York","WELLS","203","7","1","10"
"ME0003035","PINEWOOD MOTEL","Transient non-community system","Ground water","Somerset","SKOWHEGAN","28","4","19","10"
"ME0006723","PIONEER MOTEL","Transient non-community system","Ground water","Lincoln","EDGECOMB","47","6","10","18"
"ME0000848","PITTSTON FARM","Transient non-community system","Ground water","Somerset","PITTSTON ACAD GRANT","477","5","46","7"
"ME0094810","PIZZA STONE","Transient non-community system","Ground water","Kennebec","MANCHESTER","72","6","20","6"
"ME0007345","PLEASANT HILL CAMPGROUND","Transient non-community system","Ground water","Penobscot","HERMON","263","15","6","30"
"ME0100972","PLEASANT LAKE CAMPGROUND #2","Transient non-community system","Ground water","Washington","ALEXANDER","150","4","17","4"
"ME0000972","PLEASANT LAKE CAMPING AREA","Transient non-community system","Ground water","Washington","ALEXANDER","250","4","13","14"
"ME0002028","PLEASANT MOUNTAIN INN","Transient non-community system","Ground water","Cumberland","BRIDGTON","288","5","10","7"
"ME0006563","PLEASANT MTN CAMPING AREA","Transient non-community system","Ground water","Oxford","DENMARK","100","4","18","16"
"ME0008131","PLEASANT POINT INN","Transient non-community system","Ground water","Oxford","LOVELL","190","5","30","7"
"ME0001676","PLEASANT RIVER CAMPGROUND","Transient non-community system","Ground water","Oxford","BETHEL","188","5","2","10"
"ME0094982","PLEASANT RIVER GUIDES WILDERNESS LODGE","Transient non-community system","Ground water","Piscataquis","SEBEC","105","4","4","16"
"ME0016951","POC LLC","Transient non-community system","Ground water","Penobscot","T02 R09 WELS","131","4","3","21"
"ME0094738","POINT LOOKOUT-ATHENA U","Transient non-community system","Ground water","Waldo","NORTHPORT","200","6","5","4"
"ME0094715","POINT LOOKOUT-FITNESS CENTER","Transient non-community system","Ground water","Waldo","NORTHPORT","134","6","2","4"
"ME0094633","POINT LOOKOUT-HEDGES HALL","Transient non-community system","Ground water","Waldo","NORTHPORT","400","7","8","9"
"ME0094607","POINT LOOKOUT-THE SUMMIT","Transient non-community system","Ground water","Waldo","NORTHPORT","200","11","9","7"
"ME0002514","POINT SEBAGO OUTDOOR RESORT","Transient non-community system","Ground water","Cumberland","CASCO","1,833","16","14","36"
