"PWS ID","PWS Name","PWS Type","Primary Source","Counties Served","Cities Served","PopulationServed Count","Number of Facilities","Number of Violations","Number of Site Visits"
"AZ0409008","OVERGAARD RESORT RV PARK","Transient non-community system","Ground water","Navajo","OVERGAARD","50","5","21","6"
"AZ0404372","OX BOW ESTATES RV PARK","Transient non-community system","Ground water","Gila","PAYSON","104","6","31","13"
"AZ0413284","PAGE SPRINGS VINEYARD","Transient non-community system","Ground water","Yavapai","CORNVILLE","70","3","12","2"
"AZ0407448","PARADISE PEAK WEST MHP","Transient non-community system","Ground water","Maricopa","PHOENIX","25","4","73","14"
"AZ0412043","PARCEL 1 WATER","Transient non-community system","Ground water","Santa Cruz","AMADO","100","3","3","2"
"AZ0403099","PARKS FEED AND MERCANTILE","Transient non-community system","Ground water","Coconino","PARKS","100","5","18","3"
"AZ0413450","PARKSIDE COMMUNITY CHURCH","Transient non-community system","Ground water","Yavapai","CAMP VERDE","88","4","2","2"
"AZ0413212","PASGHETTIS PASTA JOINT","Transient non-community system","Ground water","Yavapai","CHINO VALLEY","50","3","43","9"
"AZ0412301","PATAGONIA RV PARK","Transient non-community system","Ground water","Santa Cruz","PATAGONIA","40","6","14","11"
"AZ0412345","PATAGONIA SONOITA CREEK PRESERVE","Transient non-community system","Ground water","Santa Cruz","-","25","4","16","1"
"AZ0413363","PAULDEN PARK PLACE","Transient non-community system","Ground water","Yavapai","PAULDEN","40","5","30","9"
"AZ0420517","PCNR ARTHUR PACK OLD - CROOKED TREE","Transient non-community system","Ground water","Pima","TUCSON","420","6","36","11"
"AZ0420605","PCNR ARTHUR PACK REGIONAL","Transient non-community system","Ground water","Pima","TUCSON","420","5","30","9"
"AZ0420023","PCNR COLOSSAL CAVE","Transient non-community system","Ground water","Pima","TUCSON","210","3","27","13"
"AZ0420093","PCNR FAIRGROUNDS","Transient non-community system","Ground water","Pima","TUCSON","87","5","33","16"
"AZ0420114","PCNR GILBERT RAY TMP","Transient non-community system","Ground water","Pima","TUCSON","1,500","5","41","14"
"AZ0420607","PCNR LA POSTA QUEMADA","Transient non-community system","Ground water","Pima","TUCSON","25","4","28","9"
"AZ0410326","PCNR MOTOR SPORTS","Transient non-community system","Ground water","Pima","TUCSON","100","5","11","4"
"AZ0420609","PCNR PICTURE ROCKS","Transient non-community system","Ground water","Pima","TUCSON","100","5","21","8"
"AZ0420608","PCNR THREE POINT","Transient non-community system","Ground water","Pima","THREE POINTS","52","3","21","7"
"AZ0403082","PEAKVIEW COUNTRY STORE","Transient non-community system","Ground water","Coconino","FLAGSTAFF","100","3","54","6"
"AZ0407540","PHOENIX CITY OF HEDGEPETH HILLS","Transient non-community system","Surface water purchased","Maricopa","PHOENIX","51","3","0","3"
"AZ0411547","PICACHO PEAK RV RESORT","Transient non-community system","Ground water purchased","Pinal","RED ROCK","400","10","8","4"
"AZ0403027","PINE FLATS HOA","Transient non-community system","Groundwater under influence of surface water","Coconino","OAK CREEK CANYON","85","6","71","13"
"AZ0401040","PINE RIDGE ESTATES","Transient non-community system","Ground water","Apache","ALPINE","40","4","52","9"
"AZ0413327","PINE SUMMIT BIBLE CAMP","Transient non-community system","Ground water","Yavapai","PRESCOTT","325","10","17","7"
"AZ0404069","PINE VIEW RV PARK","Transient non-community system","Ground water","Gila","STAR VALLEY","98","9","155","11"
"AZ0409336","PINEDALE CLAY SPRING LDS","Transient non-community system","Ground water","Navajo","CLAY SPRINGS","500","4","24","14"
"AZ0409040","PINEDALE ESTATES DWID","Transient non-community system","Ground water","Navajo","SHOW LOW","144","5","106","13"
"AZ0408156","PINES TO PALMS MOBILE HOME RV PARK","Transient non-community system","Ground water","Mohave","BEAVER DAM","45","3","44","7"
"AZ0402324","PJS FAMILY TRAVEL CENTER/STORE N MORE","Transient non-community system","Ground water","Cochise","BOWIE","100","3","32","16"
"AZ0407186","PLEASANT HARBOR MARINA","Transient non-community system","Ground water","Maricopa","PEORIA","420","3","29","9"
"AZ0404389","PLEASANT VALLEY COMMUNITY","Transient non-community system","Ground water","Gila","YOUNG","25","3","29","9"
"AZ0407479","PLEASANT VALLEY RV PARK","Transient non-community system","Ground water","Maricopa","LAKE PLEASANT AREA","125","4","13","17"
"AZ0402376","PORTAL STORE","Transient non-community system","Ground water","Cochise","PORTAL","40","3","12","15"
"AZ0413047","POTATO PATCH SUBDIVISION","Transient non-community system","Ground water","Yavapai","PRESCOTT","230","7","21","12"
"AZ0408166","POWELL LOADING STATION","Transient non-community system","Ground water","Mohave","RURAL YUCCA","100","7","19","6"
"AZ0407298","PRAIRIE PARTNERS LLC","Transient non-community system","Ground water","Maricopa","PHOENIX","35","5","67","24"
"AZ0413361","PRESCOTT PINES CAMP","Transient non-community system","Ground water","Yavapai","PRESCOTT","400","12","26","10"
"AZ0415373","PRICKLY PEAR RV PARK","Transient non-community system","Ground water","La Paz","BOUSE","162","5","12","12"
"AZ0415477","PRIDE TRAVEL CENTER","Transient non-community system","Ground water","La Paz","HOPE","500","12","84","15"
"AZ0404320","PUNKIN CENTER COMMERCIAL","Transient non-community system","Ground water","Gila","TONTO BASIN","100","3","6","13"
"AZ0402095","QUAIL RIDGE RV PARK","Transient non-community system","Ground water","Cochise","FAIRBANK","144","8","30","14"
"AZ0413289","QUAIL RIDGE RV PARK","Transient non-community system","Ground water","Yavapai","MAYER","25","5","1","2"
"AZ0415384","QUARTZSITE YACHT CLUB","Transient non-community system","Ground water","La Paz","QUARTZSITE","200","4","1","15"
"AZ0404348","R BAR C SCOUT RANCH","Transient non-community system","Ground water","Gila","CHRISTOPHER CREEK","150","5","66","10"
"AZ0415525","RAMBLIN ROADS RV PARK","Transient non-community system","Ground water","La Paz","HOPE","354","7","6","10"
"AZ0414510","RANCHO BONITO RV PARK","Transient non-community system","Ground water","Yuma","YUMA","200","4","28","5"
"AZ0407665","RANCHO DE LOS CABALLEROS","Transient non-community system","Ground water","Maricopa","WICKENBURG","25","5","50","14"
"AZ0411119","RANCHO SONORA INN RV PARK","Transient non-community system","Ground water","Pinal","RANCHO SONORA INN","125","5","13","9"
"AZ0403311","RAYMOND SCOUT CAMP","Transient non-community system","Ground water","Coconino","FLAGSTAFF","400","4","40","14"
"AZ0402085","RED BARN CAMPGROUND","Transient non-community system","Ground water","Cochise","BENSON","98","3","12","16"
"AZ0420086","REDWOOD LODGE","Transient non-community system","Ground water","Pima","TUCSON","50","4","8","14"
"AZ0403354","RIM RESORT","Transient non-community system","Ground water","Coconino","FOREST LAKES","65","4","19","11"
"AZ0408071","RIVER CITY RV PARK","Transient non-community system","Ground water","Mohave","BULLHEAD CITY","160","3","25","14"
"AZ0415106","RIVER ISLAND MARKET GAS","Transient non-community system","Ground water","La Paz","PARKER","300","3","29","5"
