"PWS ID","PWS Name","PWS Type","Primary Source","Counties Served","Cities Served","PopulationServed Count","Number of Facilities","Number of Violations","Number of Site Visits"
"NH1392050","BOUMIL GROVE CONDOS","Community water system","Ground water","Rockingham","LONDONDERRY","75","2","121","7"
"NH2212010","BOW LAKE ESTATES","Community water system","Ground water","Strafford","STRAFFORD","95","3","74","5"
"NH0261010","BOW MUNICIPAL WATER SYSTEM","Community water system","Ground water","Merrimack","BOW","99","5","2","9"
"NH0882050","BRAKE HILL ACRES","Community water system","Ground water","Belknap","GILFORD","98","2","51","7"
"NH1972040","BRANCH RIVER APARTMENTS","Community water system","Ground water","Rockingham","RAYMOND","120","4","50","6"
"NH0702020","BRANDYWINE","Community water system","Ground water","Rockingham","EAST KINGSTON","72","4","22","12"
"NH0882220","BRETON WOODS DEV","Community water system","Ground water","Belknap","GILFORD","90","2","8","6"
"NH0912040","BRIAR COURT ESTATES","Community water system","Ground water","Hillsborough","GOFFSTOWN","113","3","1","5"
"NH0301010","BRISTOL WATER WORKS","Community water system","Ground water","Grafton","BRISTOL","3,400","6","5","4"
"NH0882130","BROADVIEW CONDOS","Community water system","Ground water","Belknap","GILFORD","128","6","96","4"
"NH0512190","BROOK VIEW VILLAGE","Community water system","Ground water","Carroll","CONWAY","40","1","0","6"
"NH0694010","BROOKDALE SPRUCE WOOD","Community water system","Ground water","Strafford","DURHAM","225","4","9","11"
"NH0882180","BROOKSIDE CROSSING","Community water system","Ground water","Belknap","GILFORD","138","4","28","7"
"NH1463010","BROOKWOOD PARK","Community water system","Ground water","Carroll","MADISON","50","1","42","5"
"NH1932110","BRYANT BROOK","Community water system","Ground water","Rockingham","PLAISTOW","55","1","2","5"
"NH2232160","BURNHAVEN","Community water system","Ground water","Rockingham","STRATHAM","150","4","48","6"
"NH0192070","CABOT PRESERVE","Community water system","Ground water purchased","Hillsborough","BEDFORD","955","4","4","4"
"NH1802020","CAMELOT COURT","Community water system","Ground water","Rockingham","NOTTINGHAM","45","2","0","5"
"NH2542190","CAMELOT III","Community water system","Ground water","Rockingham","WINDHAM","30","5","12","3"
"NH0341010","CAMPTON VILLAGE PCT","Community water system","Ground water","Grafton","CAMPTON","595","6","114","7"
"NH0351010","CANAAN WATER DEPT","Community water system","Surface water","Grafton","CANAAN","600","4","56","14"
"NH1767020","CANTERBURY CROSSINGS","Community water system","Ground water","Merrimack","NORTHFIELD","35","1","1","8"
"NH0374010","CANTERBURY SPRUCES HOUSING","Community water system","Ground water","Merrimack","CANTERBURY","25","6","30","8"
"NH0354010","CARDIGAN MOUNTAIN SCH","Community water system","Ground water","Grafton","CANAAN","300","5","9","8"
"NH1992050","CARRIAGE APTS","Community water system","Ground water","Cheshire","RINDGE","43","2","78","7"
"NH1844010","CARROLL COUNTY COMPLEX","Community water system","Ground water","Carroll","OSSIPEE","258","8","78","5"
"NH0381010","CARROLL WATER WORKS","Community water system","Ground water","Coos","CARROLL","875","9","1","4"
"NH1742010","CARY AND ALLEN ST DEV","Community water system","Ground water","Sullivan","NEWPORT","43","1","93","6"
"NH0043040","CATAMOUNT HILL","Community water system","Ground water","Merrimack","ALLENSTOWN","383","6","23","31"
"NH0203010","CATES MOBILE HOME PARK","Community water system","Ground water","Belknap","BELMONT","134","1","2","6"
"NH0512030","CATHEDRAL LEDGE","Community water system","Ground water","Carroll","CONWAY","150","7","60","7"
"NH0512200","CEDAR CREEK","Community water system","Ground water","Carroll","CONWAY","105","4","56","7"
"NH1332040","CEDAR WOOD ESTATES","Community water system","Ground water","Strafford","LEE","30","3","11","6"
"NH0613060","CENTENNIAL ESTATES","Community water system","Ground water","Rockingham","DERRY","132","7","111","12"
"NH1181010","CENTRAL HOOKSETT WATER PCT","Community water system","Surface water purchased","Merrimack","HOOKSETT","4,300","5","9","5"
"NH1392180","CENTURY VILLAGE CONDOS","Community water system","Ground water","Rockingham","LONDONDERRY","875","5","22","10"
"NH0882010","CHALET VILLAGE","Community water system","Ground water","Belknap","GILFORD","35","2","33","6"
"NH1652020","CHALK POND WATER","Community water system","Ground water","Merrimack","NEWBURY","200","7","25","8"
"NH1932250","CHANDLER PLACE APTS","Community water system","Ground water","Rockingham","PLAISTOW","38","4","1","2"
"NH1932190","CHANDLER TERRACE","Community water system","Ground water","Rockingham","PLAISTOW","30","2","26","5"
"NH0411010","CHARLESTOWN WATER WORKS","Community water system","Ground water","Sullivan","CHARLESTOWN","2,500","5","3","7"
"NH0882080","CHERRY VALLEY CONDOS","Community water system","Ground water","Belknap","GILFORD","90","1","41","7"
"NH2494010","CHESHIRE COUNTY COMPLEX","Community water system","Surface water","Cheshire","WESTMORELAND","380","5","78","4"
"NH0343010","CHESLEYS MHP","Community water system","Ground water","Grafton","CAMPTON","60","2","33","6"
"NH0432030","CHESTER BROOK","Community water system","Ground water","Rockingham","CHESTER","100","6","4","10"
"NH2232200","CHISHOLM FARM","Community water system","Ground water","Rockingham","STRATHAM","168","3","15","6"
"NH2312070","CHOCORUA MEADOWS","Community water system","Ground water","Carroll","TAMWORTH","53","24","26","6"
"NH2312060","CHOCORUA WOODS","Community water system","Ground water","Carroll","TAMWORTH","16","2","27","5"
"NH0461010","CLAREMONT WATER DEPT","Community water system","Surface water","Sullivan","CLAREMONT","9,000","5","43","6"
