PWS ID,PWS Name,PWS Type,Primary Source,Counties Served,Cities Served,PopulationServed Count,Number of Facilities,Number of Violations,Number of Site Visits
MN5270899,"Kemmetmueller Photography, Inc.",Transient non-community system,Ground water,Hennepin,-,25,3,0,9
MN5340045,Ken's Kove,Transient non-community system,Ground water,Kandiyohi,-,25,4,0,5
MN5390041,Ken-Mar-Ke Resort,Transient non-community system,Ground water,Lake of the Woods,-,30,8,0,6
MN5250126,Kenyon Country Club,Transient non-community system,Ground water,Goodhue,-,50,4,1,3
MN5640175,Kerkhoff Auction and Real Estate,Transient non-community system,Ground water,Redwood,-,25,4,1,4
MN5620210,Kessler and Maguire Funeral Home,Transient non-community system,Ground water,Ramsey,-,30,3,0,7
MN5690230,Kettle Falls Hotel,Transient non-community system,Ground water,St. Louis,-,25,10,3,6
MN5580079,Kettle River Rest Area MNDOT,Transient non-community system,Ground water,Pine,-,1908,6,9,7
MN5510052,Key Largo,Transient non-community system,Ground water,Murray,-,150,7,3,6
MN5640017,Kibble Equipment,Transient non-community system,Ground water,Redwood,-,25,3,0,7
MN5470113,Kickers Bar and Grill,Transient non-community system,Ground water,Meeker,-,75,4,0,7
MN5810133,Kiesler's Campground,Transient non-community system,Ground water,Waseca,-,100,7,0,6
MN5730516,Kiffmeyer Park,Transient non-community system,Ground water,Stearns,-,25,5,2,9
MN5180256,Kilworry Resort,Transient non-community system,Ground water,Crow Wing,-,50,10,5,6
MN5280251,Kim & Jeannie's Lawrence Lake Marina,Transient non-community system,Ground water,Houston,-,45,4,0,4
MN5730297,Kimball Golf Club,Transient non-community system,Ground water,Stearns,-,100,3,1,7
MN5160120,Kimball Lake Campground USFS,Transient non-community system,Ground water,Cook,-,25,4,0,7
MN5560257,Kimp's Kamp,Transient non-community system,Ground water,Otter Tail,-,50,12,1,7
MN5730112,King Bee Camp,Transient non-community system,Ground water,Stearns,-,150,8,0,6
MN5430053,King Motel,Transient non-community system,Ground water,McLeod,-,45,3,0,6
MN5290336,Kingdom Hall,Transient non-community system,Ground water,Hubbard,-,75,5,0,8
MN5040779,Kingdom Hall,Transient non-community system,Ground water,Beltrami,-,100,2,0,4
MN5190232,Kingdom Hall Jehovah's Witness,Transient non-community system,Ground water,Dakota,-,120,3,1,7
MN5380337,Kingdom Hall Jehovah's Witnesses Two Har,Transient non-community system,Ground water,Lake,-,70,2,0,1
MN5020335,Kingdom Hall of Jehovah Witness,Transient non-community system,Ground water,Anoka,-,200,4,4,10
MN5181022,Kingdom Hall of Jehovah's Witnesses,Transient non-community system,Ground water,Crow Wing,-,100,3,0,4
MN5330109,Kingdom Hall of Jehovah's Witnesses,Transient non-community system,Ground water,Kanabec,-,100,4,2,9
MN5860123,Kingdom Hall of Jehovah's Witnesses,Transient non-community system,Ground water,Wright,-,190,4,1,9
MN5690062,Kingdom Hall of Jehovah's Witnesses,Transient non-community system,Ground water,St. Louis,-,50,3,1,7
MN5690074,Kingdom Hall of Jehovah's Witnesses,Transient non-community system,Ground water,St. Louis,-,60,3,0,9
MN5640174,Kingdom Hall of Jehovah's Witnesses,Transient non-community system,Ground water,Redwood,-,30,3,0,5
MN5420145,Kingdom Hall of Jehovah's Witnesses,Transient non-community system,Ground water,Lyon,-,60,4,1,8
MN5010460,Kingdom Hall of Jehovah's Witnesses,Transient non-community system,Ground water,Aitkin,-,45,3,0,1
MN5580440,Kingdom Hall of Jehovah's Witnesses,Transient non-community system,Ground water,Pine,-,100,4,0,1
MN5480118,Kingdom Hall of Jehovah's Witnesses,Transient non-community system,Ground water,Mille Lacs,-,180,4,0,10
MN5111088,Kingdom Hall of Jehovah's Witnesses,Transient non-community system,Ground water,Cass,-,75,4,0,5
MN5820540,Kingdom Hall-Jehovahs Witness,Transient non-community system,Ground water,Washington,-,25,4,2,6
MN5820235,Kings Cove Marina - LLC,Transient non-community system,Ground water,Washington,-,25,3,0,7
MN5190018,Kings Place,Transient non-community system,Ground water,Dakota,-,25,4,1,6
MN5470146,Kingston Apostolic Lutheran Church,Transient non-community system,Ground water,Meeker,-,75,3,0,3
MN5470147,Kingston Auto Inc.,Transient non-community system,Ground water,Meeker,-,25,2,0,1
MN5470138,Kingston Community Center,Transient non-community system,Ground water,Meeker,-,100,4,0,5
MN5470136,Kingston Mini-Mart,Transient non-community system,Ground water,Meeker,-,250,4,0,5
MN5710130,Kinitski's Grill & Bar,Transient non-community system,Ground water,Sherburne,-,50,7,4,6
MN5691196,Kinsey Houseboats,Transient non-community system,Ground water,St. Louis,-,25,2,0,1
MN5040164,Kitchi Landing Resort,Transient non-community system,Ground water,Beltrami,-,25,3,0,4
MN5040344,Kitchi Pines Church,Transient non-community system,Ground water,Beltrami,-,100,4,2,8
MN5610132,Knapp Memorial Park,Transient non-community system,Ground water,Pope,-,25,3,1,9
MN5090207,Knife Island Campground,Transient non-community system,Groundwater under influence of surface water,Carlton,-,25,5,5,12
MN5380215,Knife River Campground,Transient non-community system,Ground water,Lake,-,50,4,3,6
MN5380207,Knife River Lutheran Church,Transient non-community system,Ground water,Lake,-,50,3,0,9
MN5380194,Knife River Marina,Transient non-community system,Ground water,Lake,-,25,3,0,10
MN5700316,"Knights of Columbus, Inc.",Transient non-community system,Ground water,Scott,-,25,3,1,5
MN5800055,Knob Hill Campsite,Transient non-community system,Ground water,Wadena,-,25,3,0,7
MN5380124,Knotted Pine Inn & Tavern Inc.,Transient non-community system,Ground water,Lake,-,25,3,0,5
MN5410025,Knotty Pine Supper Club,Transient non-community system,Ground water,Lincoln,-,70,4,7,6
MN5290103,Knotty Pines Resort,Transient non-community system,Ground water,Hubbard,-,40,4,0,6
MN5040267,Knutson Dam Rec Area USFS,Transient non-community system,Ground water,Beltrami,-,30,3,2,5
MN5480302,Koch's Hardware Hank,Transient non-community system,Ground water,Mille Lacs,-,300,4,3,6
MN5270451,Koch's Korner,Transient non-community system,Ground water,Hennepin,-,100,3,1,5
MN5160077,Koeneke Shoredge Resort,Transient non-community system,Ground water,Cook,-,25,3,3,6
MN5610485,Koep's Glenwood Corner,Transient non-community system,Ground water,Pope,-,30,5,1,6
MN5040205,Kohl's Resort,Transient non-community system,Ground water,Beltrami,-,95,13,2,6
MN5740242,Kohlmier's Beach - Beach House,Transient non-community system,Ground water,Steele,-,75,3,0,4
MN5860071,Koinonia Camp and Retreat Center,Transient non-community system,Ground water,Wright,-,100,8,2,7
MN5310744,Kokomo Resort,Transient non-community system,Ground water,Itasca,-,40,5,1,7
MN5750025,Kongsvinger Lutheran Church,Transient non-community system,Ground water,Stevens,-,70,4,1,9
MN5360131,Korner Kwik Stop,Transient non-community system,Surface water purchased,Koochiching,-,100,6,6,5
MN5730096,Koronis Hills Golf Club,Transient non-community system,Ground water,Stearns,-,225,8,1,6
MN5730111,Koronis Ministries,Transient non-community system,Ground water,Stearns,-,275,14,1,6
MN5730716,Koronis Motors,Transient non-community system,Ground water,Stearns,-,40,5,0,3
MN5130013,Kost Evangelical Free Church,Transient non-community system,Ground water,Chisago,-,100,4,1,7
MN5110859,Kovall's Deer Haven Supper Club,Transient non-community system,Ground water,Cass,-,100,6,0,6
MN5300046,Kozy Oaks Kamp,Transient non-community system,Ground water,Isanti,-,250,5,0,7
MN5691114,Krueger's Harmony Beach Resort & Lodge,Transient non-community system,Surface water,St. Louis,-,25,3,3,19
MN5690222,Krueger's Harmony Beach Resort & Lodge,Transient non-community system,Surface water,St. Louis,-,25,3,5,20
MN5790047,Kruger Management Unit,Transient non-community system,Ground water,Wabasha,-,25,6,1,7
MN5570031,Kruse Inn,Transient non-community system,Ground water,Pennington,-,25,4,0,9
MN5640029,Kuhar Park,Transient non-community system,Ground water,Redwood,-,25,4,5,7
MN5560483,Kvam Free Lutheran Church,Transient non-community system,Ground water,Otter Tail,-,100,4,0,9
MN5850147,Kwik Trip No. 497,Transient non-community system,Ground water,Winona,-,1600,6,4,5
MN5090309,Kwik Trip No. 571,Transient non-community system,Ground water,Carlton,-,500,6,0,1
MN5690928,LA's Restaurant,Transient non-community system,Ground water,St. Louis,-,25,6,1,4
MN5860421,LDS Church - Buffalo,Transient non-community system,Ground water,Wright,-,500,3,1,5
MN5860514,LDS Church - Otsego,Transient non-community system,Ground water,Wright,-,400,4,0,3
MN5820434,LEPR-Contact Station,Transient non-community system,Ground water,Washington,-,25,6,2,9
MN5820563,LEPR-Eagle Point Trailhead,Transient non-community system,Ground water,Washington,-,25,4,0,6
MN5820561,LEPR-Equestrian Center,Transient non-community system,Ground water,Washington,-,25,6,0,6
MN5820604,LEPR-Group Campground,Transient non-community system,Ground water,Washington,-,25,2,0,2
MN5820566,LEPR-Group Picnic South,Transient non-community system,Ground water,Washington,-,25,3,0,6
MN5820560,LEPR-Group Shelter North,Transient non-community system,Ground water,Washington,-,25,3,0,7
MN5820565,LEPR-Maintenance Shop,Transient non-community system,Ground water,Washington,-,25,3,1,6
MN5820562,LEPR-Modern Campground,Transient non-community system,Ground water,Washington,-,25,4,0,7
MN5820598,LEPR-Nordic Center Trailhead,Transient non-community system,Ground water,Washington,-,25,3,0,3
MN5820581,LEPR-Play Structure,Transient non-community system,Ground water,Washington,-,25,2,0,5
MN5820567,LEPR-Swimming Facility,Transient non-community system,Ground water,Washington,-,25,5,1,6
MN5190320,LHRP - Camp Sac/Tent Site,Transient non-community system,Ground water,Dakota,-,25,3,0,8
MN5190319,LHRP - Camp Sacajawea,Transient non-community system,Ground water,Dakota,-,25,3,1,9
MN5190323,LHRP - Jensen Lake,Transient non-community system,Ground water,Dakota,-,25,3,0,7
MN5190511,LHRP - Maintenance Shop,Transient non-community system,Ground water,Dakota,-,25,3,0,6
MN5190522,LHRP - RV East Loop,Transient non-community system,Ground water,Dakota,-,25,3,0,6
MN5190322,LHRP - Schulze Beach,Transient non-community system,Ground water,Dakota,-,25,3,3,9
MN5210111,LJ's,Transient non-community system,Ground water,Douglas,-,45,4,1,5
MN5240242,LKQ,Transient non-community system,Ground water,Freeborn,-,35,2,0,2
MN5010332,LLC Eastside Marina,Transient non-community system,Ground water,Aitkin,-,60,6,0,5
MN5660234,La Canne's Marine,Transient non-community system,Ground water,Rice,-,25,5,0,10
MN5280248,La Crescent Evangelical Free Church,Transient non-community system,Ground water,Houston,-,25,3,0,4
MN5370018,Lac Qui Parle Lutheran Church,Transient non-community system,Ground water,Lac qui Parle,-,225,3,0,8
MN5370203,Lac Qui Parle State Park,Transient non-community system,Ground water,Lac qui Parle,-,195,9,2,9
MN5120155,Lac Qui Parle Wildlife Management Area,Transient non-community system,Ground water,Chippewa,-,164,5,5,3
MN5370217,Lac qui Parle County Park,Transient non-community system,Ground water,Lac qui Parle,-,50,2,0,1
MN5280030,Lacrescent Snowmobile Club,Transient non-community system,Ground water,Houston,-,25,5,1,7
MN5690166,Lady Bug Lodge and Osprey Outfitters,Transient non-community system,Groundwater under influence of surface water,St. Louis,-,25,9,2,5
MN5390018,Ladyslipper Park,Transient non-community system,Ground water,Lake of the Woods,-,25,3,0,8
MN5860159,Laestadian Lutheran Church of Monticello,Transient non-community system,Ground water,Wright,-,500,7,0,4
MN5650046,Lake Allie Park,Transient non-community system,Ground water,Renville,-,25,3,0,5
MN5210039,Lake Andrew Resort Association,Transient non-community system,Ground water,Douglas,-,90,13,3,3
