PWS ID,PWS Name,PWS Type,Primary Source,Counties Served,Cities Served,PopulationServed Count,Number of Facilities,Number of Violations,Number of Site Visits
NJ1904301,FRENCHES GROVE WATER CO,Transient non-community system,Ground water,Sussex,BYRAM TWP.-1904,225,8,25,8
NJ1016301,FRENCHTOWN LANES,Transient non-community system,Ground water,Hunterdon,KINGWOOD TWP.-1016,42,3,13,5
NJ1016308,FRENCHTOWN ROLLER RINK,Transient non-community system,Ground water,Hunterdon,KINGWOOD TWP.-1016,104,4,6,4
NJ1917346,FRESH PICKINS,Transient non-community system,Ground water,Sussex,SANDYSTON TWP.-1917,72,2,0,3
NJ0108406,FRESH START CHURCH,Transient non-community system,Ground water,Atlantic,EGG HARBOR TWP-0108,812,4,1,5
NJ1913311,FRIAR MOUNTAIN MINI MALL,Transient non-community system,Ground water,Sussex,LAFAYETTE TWP.-1913,512,4,1,5
NJ0233313,"FRIENDS OF GLEN GRAY, INC.",Transient non-community system,Ground water,Bergen,MAHWAH TWP-0233,201,4,12,4
NJ1332377,FROG BRIDGE DAY CAMP & TADPOLE VILLAGE P,Transient non-community system,Ground water,Monmouth,MILLSTONE TWP.-1332,618,4,4,5
NJ0113309,FROG ROCK INN,Transient non-community system,Ground water,Atlantic,HAMMONTON TOWN-0113,55,3,12,4
NJ0511316,FRONTIER CG - WELL #1,Transient non-community system,Ground water,Cape May,UPPER TWP.-0511,199,4,5,5
NJ0511317,FRONTIER CG - WELL #2,Transient non-community system,Ground water,Cape May,UPPER TWP.-0511,199,4,8,5
NJ0511318,FRONTIER CG - WELL #3,Transient non-community system,Ground water,Cape May,UPPER TWP.-0511,200,4,6,5
NJ0707309,FU RESTAURANT LLC,Transient non-community system,Ground water,Essex,FAIRFIELD BORO-0707,110,4,39,13
NJ1319431,FUDA TILE,Transient non-community system,Ground water,Monmouth,HOWELL TWP.-1319,115,4,3,5
NJ1006321,FUEL GOOD CAFE,Transient non-community system,Ground water,Hunterdon,CLINTON TWP.-1006,76,4,11,5
NJ1421340,FUN TIME KIDS ACADEMY 2,Transient non-community system,Ground water,Morris,MONTVILLE TWP.-1421,42,3,7,5
NJ1918331,FUS CHINESE RESTAURANT,Transient non-community system,Ground water,Sussex,SPARTA TWP.-1918,67,4,3,5
NJ0805407,GAETANOS INDOOR SOCCER,Transient non-community system,Ground water,Gloucester,FRANKLIN TWP.-0805,50,4,6,4
