PWS ID,PWS Name,PWS Type,Primary Source,Counties Served,Cities Served,PopulationServed Count,Number of Facilities,Number of Violations,Number of Site Visits
NY5903433,LARCHMONT VILLAGE,Community water system,Surface water purchased,Westchester,LARCHMONT (V),6485,5,3,12
NY0100198,LATHAM WATER DISTRICT,Community water system,Surface water,Albany,COLONIE (T),78500,5,12,14
NY3800151,LAURENS VILLAGE,Community water system,Ground water,Otsego,LAURENS (V),381,5,3,4
NY1400516,LAWTONS WATER CO,Community water system,Groundwater under influence of surface water,Erie,NORTH COLLINS (T),95,4,73,12
NY3201470,LAZY ACRES MOBILE HOME PARK (GU),Community water system,Groundwater under influence of surface water,Oneida,LEE (T),126,10,50,35
NY2501019,LCWSA CONSOLIDATED WATER DISTRICT,Community water system,Surface water purchased,Livingston,LIVONIA (V),7460,26,14,14
NY0101642,LEANING EVERGREEN MHP,Community water system,Ground water,Albany,WESTERLO (T),50,3,2,18
NY2100654,LEATHERSTOCKING COMMUNITY,Community water system,Ground water,Herkimer,GERMAN FLATTS (T),77,6,34,10
NY4110697,LEAVENWORTH TRAILER PARK,Community water system,Ground water,Rensselaer,SCHODACK (T),60,4,8,9
NY0930208,LEDGERS CORNERS WD,Community water system,Ground water purchased,Clinton,DANNEMORA (T),70,2,0,0
NY5620267,LEDGEVIEW VILLAGE M.H.P.,Community water system,Ground water,Warren,QUEENSBURY (T),330,7,31,17
NY3202394,LEE WATER DISTRICT,Community water system,Surface water purchased,Oneida,"LEE (T), ROME (C)",3150,7,5,41
NY0310328,LEES MOBILE HOME PARK,Community water system,Ground water,Broome,CHENANGO (T),60,4,24,17
NY5503405,LEEWOOD KNOLLS WATER CO,Community water system,Ground water,Ulster,HURLEY (T),131,8,5,5
NY5422534,LEHIGH CROSSING APARTMENTS,Community water system,Ground water,Tompkins,FREEVILLE (V),48,5,2,14
NY2501014,LEICESTER - CUYLERVILLE WD,Community water system,Surface water purchased,Livingston,LEICESTER (V),562,5,11,14
NY2501026,LEICESTER - YORK PUBLIC WATER SUPPLY,Community water system,Surface water purchased,Livingston,LEICESTER (T),45,1,1,3
NY2501020,LEICESTER VILLAGE,Community water system,Surface water purchased,Livingston,LEICESTER (V),438,4,1,14
NY0506423,LEISURE ACRES MOBILE HOME PARK,Community water system,Ground water,Cayuga,CATO (T),40,5,4,7
NY5230210,LEISURE LAKE ESTATES CONDOMINIUMS,Community water system,Ground water,Sullivan,LIBERTY (T),285,6,9,1
NY1208176,LEISURE VILLAGE,Community water system,Ground water,Delaware,DELHI (T),86,4,2,5
NY2220178,LERAY TOWN WD 1,Community water system,Surface water purchased,Jefferson,LERAY (T),1140,3,3,2
NY2221206,LERAY TOWN WD 2 & 4,Community water system,Ground water,Jefferson,LERAY (T),6000,14,0,4
NY2230105,LERAY TOWN WD 3,Community water system,Ground water purchased,Jefferson,-,480,2,0,3
NY1500285,LEWIS WD,Community water system,Ground water,Essex,LEWIS (T),428,17,15,17
NY3100558,LEWISTON VILLAGE,Community water system,Surface water purchased,Niagara,LEWISTON (V),2781,3,0,15
NY3100561,LEWISTON WATER IMPROVEMENTAREA,Community water system,Surface water purchased,Niagara,LEWISTON (V),16257,3,0,15
NY3700943,"LIBERTY COMMUNITY, LLC",Community water system,Ground water,Oswego,PARISH (T),60,11,49,22
NY5203329,LIBERTY VILLAGE,Community water system,Surface water,Sullivan,LIBERTY (V),3900,17,25,9
NY2902828,LIDO-POINT LOOKOUT WD,Community water system,Ground water,Nassau,HEMPSTEAD (T),6000,10,9,5
NY0930121,LIGHTHOUSE APARTMENTS,Community water system,Ground water,Clinton,PERU (T),28,15,200,19
NY2525000,LIMA TOWN WD,Community water system,Surface water purchased,Livingston,LIMA (V),220,2,0,13
NY2501021,LIMA VILLAGE,Community water system,Surface water purchased,Livingston,LIMA (V),2900,9,3,13
NY3202240,LIMBERLOST ROAD APARTMENTS (GU),Community water system,Groundwater under influence of surface water,Oneida,KIRKLAND (T),25,17,96,38
NY1330086,LIME RIDGE FARM,Community water system,Ground water,Dutchess,BEEKMAN  (T),60,6,144,20
NY5903156,LINCOLN HALL SCHOOL,Community water system,Ground water,Westchester,SOMERS (T),500,10,31,15
NY3100562,LINCOLN VILLAGE LOCKPORT WD#2,Community water system,Surface water purchased,Niagara,LOCKPORT (C),253,2,0,12
NY4421088,LISBON WATER DISTRICT,Community water system,Ground water,St. Lawrence,LISBON (T),500,6,13,8
NY0301671,LISLE VILLAGE,Community water system,Ground water,Broome,LISLE (V),361,12,0,15
NY5405827,LITTLE CREEK PARKE,Community water system,Ground water,Tompkins,DRYDEN (T),252,9,8,14
NY2102308,LITTLE FALLS CITY,Community water system,Surface water,Herkimer,LITTLE FALLS (C),5800,21,5,6
NY0800623,LITTLE JOHNS TRAILER PARK,Community water system,Ground water,Chenango,NORTH NORWICH (T),43,4,9,11
NY3830021,LITTLE RED SCHOOLHOUSE COM MHP,Community water system,Ground water,Otsego,LAURENS (T),150,4,52,4
NY1302803,LITTLE SWITZERLAND,Community water system,Ground water,Dutchess,EAST FISHKILL (T),400,7,19,14
NY0430023,LITTLE VALLEY TOWN WATER DISTRICT,Community water system,Ground water purchased,Cattaraugus,LITTLE VALLEY (T),150,2,2,8
NY0400343,LITTLE VALLEY VILLAGE,Community water system,Ground water,Cattaraugus,LITTLE VALLEY (V),1188,6,3,9
NY5203330,LIVINGSTON MANOR WD,Community water system,Ground water,Sullivan,ROCKLAND (T),1200,9,25,4
NY1010758,LIVINGSTON MOBILE HOME PARK,Community water system,Ground water,Columbia,LIVINGSTON (T),100,5,3,15
NY1010474,LIVINGSTON NURSING HOME,Community water system,Ground water,Columbia,LIVINGSTON (T),114,8,86,13
NY2501022,LIVONIA VILLAGE,Community water system,Surface water purchased,Livingston,LIVONIA (V),1300,8,7,14
NY0501719,LOCKE W D,Community water system,Ground water,Cayuga,LOCKE (T),600,6,14,8
NY3100564,LOCKPORT CITY WTP,Community water system,Surface water,Niagara,LOCKPORT (C),21165,8,0,64
NY3100563,LOCKPORT WD#3,Community water system,Surface water purchased,Niagara,LOCKPORT (T),20529,3,0,15
