Country,% Access,Total water withdrawal per capita (m³ per person per year)
Sudan,60.83600005392801,714.1
Suriname,91.47274189792542,1268.3333333333333
Swaziland,56.52306880241331,995.5
Sweden,100.0,374.1444444444445
Switzerland,100.0,368.15714285714284
Syria,87.99230819989398,797.6500000000001
Tajikistan,64.265216219115,1828.3333333333333
Tanzania,54.63846151403996,144.6
Thailand,92.97307687928756,863.7
Timor,61.54286677732456,1148.0
Togo,55.173076952379866,29.54
Tonga,98.84997002835311,
Trinidad and Tobago,93.6423105317903,257.575
Tunisia,91.0807685569884,288.0857142857143
Turkey,93.82307700640874,587.325
Turkmenistan,59.630769357288955,5550.666666666667
Turks and Caicos Islands,87.04542640519577,
Tuvalu,94.68068371071055,
Uganda,60.3961540915864,16.843333333333334
Ukraine,97.09090905145645,385.55
United Arab Emirates,99.66538515037749,777.575
United Kingdom,100.0,199.51428571428573
United States,98.85384616571883,1945.6
United States Virgin Islands,100.0,
Uruguay,97.26922830018142,668.2
Uzbekistan,88.55652142829543,2331.3333333333335
Vanuatu,78.81157035707612,
Venezuela,91.33461542225312,502.79999999999995
Vietnam,80.696153798886,776.6999999999999
Yemen,59.482608566874966,188.73333333333335
Zambia,56.03076843476894,173.16666666666666
Zimbabwe,78.75769226658579,
