Country,% Access,Total water withdrawal per capita (m³ per person per year),Population,Conflict Count,Conflict Deaths,Conflict Death Rate,Homocide Count,Homocide Rate
Guinea-Bissau,56.81538232430014,94.80666666666669,1866426.0,2.0,0.0,0.0,294.0,20.2
Guyana,88.29999240997402,2049.0,768796.0,3.0,29.0,3.772132009011494,206.0,27.8
Haiti,60.573076949123354,144.0,10780219.0,14.5,135.5,1.2569317933151452,689.0,6.9
Honduras,82.49615378067962,225.3,8132435.0,3.1,22.7,0.2791291907036453,7104.0,91.6
Hungary,98.51153860029645,512.0555555555555,9837849.0,,,,296.0,2.9
Iceland,100.0,2080.2571428571428,330583.0,,,,5.0,1.8
India,82.91153846138155,584.4,1318969007.0,634.7222222222222,1558.0555555555554,0.11812677532881224,45559.0,4.5
Indonesia,79.1423077267418,458.55,259091099.0,95.75,408.5,0.1576665510998508,18963.0,8.1
Iran,94.42307697674605,1312.25,,,,,,
Iraq,81.81538449029823,2681.5,36991074.0,348.72222222222223,4282.61111111111,11.577417598394446,608.0,2.0
Ireland,96.85384935468286,237.85,4699887.0,,,,77.0,1.8
Israel,100.0,392.6375000000001,8128083.0,140.05882352941177,418.5294117647058,5.149177386164805,227.0,3.6
Italy,100.0,818.0333333333334,59797796.0,,,,1012.0,1.8
Jamaica,93.51922898961222,333.15,2798325.0,9.0,46.0,1.6438405117346984,1682.0,62.4
Japan,100.0,694.6833333333334,126447191.0,,,,716.0,0.6
Jordan,96.76153780106114,186.8,7674748.0,2.5,46.5,0.60588308567265,100.0,1.8
Kazakhstan,93.59230710091093,1515.25,17744018.0,,,,2625.0,16.7
Kenya,53.67307685934021,73.25999999999998,46651901.0,37.52941176470589,220.41176470588238,0.4724604142195242,7733.0,20.1
Kiribati,59.62296839146563,,113418.0,,,,7.0,7.3
Kuwait,98.99999826087392,383.15,3952959.0,1.0,26.0,0.6577351295573771,99.0,4.5
Kyrgyzstan,80.81153719352507,1889.0,,,,,1072.0,20.1
Laos,56.06818145610673,588.0,,,,,,
Latvia,98.58461699849288,127.26,1962570.0,,,,348.0,14.0
Lebanon,91.12272678828846,358.425,5931765.0,23.91666666666667,127.25,2.145229961065551,252.0,6.0
Lesotho,79.45768909773065,28.065,2147779.0,,,,764.0,35.2
Liberia,66.82727106266596,50.895,4559051.0,32.25,1530.5,33.5705830007166,371.0,10.1
Libya,71.20000132979105,759.6625,6300666.0,111.0,1227.6666666666667,19.484712674289774,176.0,2.9
Lithuania,92.0192351763605,732.225,2862889.0,,,,502.0,13.8
Luxembourg,100.0,108.63625,571866.0,,,,12.0,2.5
Macedonia,99.32307821501543,456.83333333333337,,,,,,
Madagascar,40.31538491722022,1013.9666666666667,24574914.0,14.0,69.0,0.28077412600507984,1588.0,8.1
Malawi,66.8846158700685,101.37666666666668,17481936.0,,,,5039.0,36.0
Malaysia,94.73846183953975,394.725,30543141.0,14.0,70.0,0.229184025310298,629.0,2.8
Maldives,95.96154111235336,16.924999999999994,366763.0,,,,5.0,1.6
Mali,51.80384641618488,272.7,17865797.0,23.153846153846153,178.6923076923077,1.000192197931655,1157.0,8.0
Malta,99.96538498790916,114.81166666666668,419145.0,,,,7.0,1.7
Marshall Islands,93.39998909325041,,,,,,,
Mauritania,44.865390638368496,470.0,4117111.0,2.0,4.8,0.11658660648206955,485.0,14.7
Mauritius,99.44230801547668,508.2600000000001,1275387.0,,,,50.0,3.9
Mexico,89.80769228404799,701.88,127830748.0,143.66666666666666,1268.6666666666667,0.9924581421260764,25757.0,22.7
Micronesia,89.95381060314024,,529053.0,,,,1.0,0.9
Moldova,85.98333395192421,353.35,4066047.0,,,,433.0,10.5
Monaco,100.0,176.94,,,,,1.0,2.8
Mongolia,58.43845783555872,195.9,2983187.0,,,,398.0,15.6
Montenegro,98.24444814491682,257.9,625967.0,,,,25.0,4.0
Morocco,79.54230797181808,439.0571428571429,34600607.0,2.0,46.0,0.13294564456629332,543.0,1.9
Mozambique,42.9615381346124,46.98,28364668.0,4.714285714285714,14.714285714285715,0.051875402575788,1925.0,8.8
Myanmar,69.47307690328552,694.45,54130572.0,96.27777777777777,412.77777777777777,0.7625594234950589,4800.0,10.2
Namibia,80.63077378490203,144.8,2486622.0,8.5,35.5,1.4276395849469683,407.0,22.6
Nauru,94.59006691003289,,,,,,1.0,9.8
Nepal,79.33076948342921,377.2,28683243.0,508.4,1156.0,4.0302276838082784,936.0,3.5
Netherlands,100.0,583.9285714285714,,,,,299.0,1.9
New Caledonia,96.2500047849279,,264784.0,,,,,
New Zealand,100.0,814.5600000000002,4546614.0,,,,65.0,1.6
Nicaragua,80.31923180288663,265.65,6118110.0,,,,802.0,15.2
Niger,46.28846148041728,63.465,20306937.0,11.888888888888891,116.33333333333331,0.5728748423917075,552.0,3.8
Nigeria,54.653846165068096,73.9375,184594601.0,164.16666666666666,2264.5,1.2267422707557951,18422.0,12.2
North Korea,99.84615380843252,359.1,,,,,,
Northern Mariana Islands,95.95778716750608,,,,,,,
Norway,100.0,551.4,5241959.0,,,,51.0,1.1
Oman,86.04230905217871,570.8,4582748.0,,,,18.0,0.7
Pakistan,88.9538461768345,1440.5,190882344.0,314.0,2292.3529411764707,1.2009245554824446,13860.0,7.8
Palau,92.78593543106365,,,,,,0.0,0.0
Palestine,82.25999886550548,96.91,,,,,,
Panama,90.01153906381163,277.0,3960285.0,,,,818.0,23.6
Papua New Guinea,36.38461429518333,54.7,7700722.0,3.75,35.5,0.4609957352050886,854.0,13.0
Paraguay,76.99615582299269,192.65,6679805.0,,,,1372.0,24.7
Peru,80.87307685607287,452.9,31574187.0,6.0625,17.0625,0.05403939616877546,3332.0,11.7
Philippines,87.82692306921905,868.15,101476890.0,141.55555555555554,626.6666666666666,0.6175461887594965,6553.0,8.1
Poland,96.34615389121298,348.36666666666673,38605135.0,,,,2170.0,5.7
Portugal,98.31153885717724,935.7333333333332,10326662.0,,,,185.0,1.7
Puerto Rico,93.599998283467,1108.5,3681650.0,,,,983.0,26.2
Qatar,99.43333929819,550.425,2264961.0,1.0,0.0,0.0,30.0,2.5
Romania,88.14615365648095,563.86,19437509.0,,,,758.0,3.3
Russia,95.24230772591393,467.6,,,,,,
Rwanda,67.75769374223607,17.57,11745104.0,8.285714285714286,300.85714285714283,2.5615536725527743,1708.0,17.1
Saint Kitts and Nevis,98.30014134982746,290.8,,,,,27.0,52.2
Samoa,94.33839694995352,,193922.0,,,,2.0,1.1
Sao Tome and Principe,85.84549196799811,53.8,192372.0,,,,3.0,1.9
Saudi Arabia,95.27692315872223,942.85,31856375.0,18.428571428571427,55.14285714285714,0.17309834261700255,301.0,1.3
Senegal,69.24615310688756,206.2,15357605.0,8.76923076923077,33.615384615384606,0.2188842896752756,1027.0,8.7
Serbia,99.3384604571382,444.3666666666666,8830647.0,1.0,0.0,0.0,243.0,2.4
Seychelles,95.6999317064678,157.25,96749.0,,,,7.0,8.3
Sierra Leone,49.703845314306,60.85999999999999,6522473.0,26.33333333333333,310.0,4.7527985167589035,837.0,14.9
Singapore,100.0,81.97,5650866.0,,,,51.0,1.5
Slovakia,99.88461456696086,160.06,,,,,146.0,2.7
Slovenia,99.57692062025437,481.175,2068472.0,,,,44.0,2.2
Solomon Islands,80.22496719675463,,589533.0,,,,26.0,5.5
Somalia,25.794736709539933,307.4666666666667,10929503.0,204.16666666666663,1269.7777777777776,11.61789129640916,138.0,1.5
South Africa,87.69230788114629,301.45,54740055.0,2.2,1.2,0.0021921790177229453,26877.0,64.9
South Korea,94.04545462571808,565.4000000000002,,,,,,
